county_code,county,Election_Year,total_reg,total_number_voting,total_percent_turnout,dem_reg,dem_voting,dem_percent_turnout,rep_reg,rep_voting,rep_percent_turnout,other_reg,other_voting,other_percent_turnout
24,CHRISTIAN,2012,"43,838","21,984",50.1,"26,112","14,215",54.4,"13,925","6,666",47.8,"3,801","1,103",29
25,CLARK,2012,"25,906","15,542",59.9,"15,673","9,452",60.3,"8,380","5,345",63.7,"1,853",745,40.2
26,CLAY,2012,"14,615","7,631",52.2,"2,024",926,45.7,"12,298","6,601",53.6,293,104,35.4
27,CLINTON,2012,"7,458","4,476",60,"1,353",772,57,"5,998","3,657",60.9,107,47,43.9
28,CRITTENDEN,2012,"6,394","3,873",60.5,"3,110","1,749",56.2,"2,883","1,933",67,401,191,47.6
29,CUMBERLAND,2012,"5,205","2,840",54.5,853,420,49.2,"4,188","2,354",56.2,164,66,40.2
30,DAVIESS,2012,"67,708","42,367",62.5,"41,260","26,133",63.3,"21,871","14,161",64.7,"4,577","2,073",45.2
31,EDMONSON,2012,"8,670","4,725",54.4,"2,841","1,390",48.9,"5,482","3,228",58.8,347,107,30.8
32,ELLIOTT,2012,"5,012","2,492",49.7,"4,693","2,346",49.9,215,110,51.1,104,36,34.6
33,ESTILL,2012,"10,244","5,421",52.9,"4,332","2,110",48.7,"5,404","3,126",57.8,508,185,36.4
34,FAYETTE,2012,"196,338","128,806",65.6,"104,172","68,911",66.1,"72,272","49,138",67.9,"19,894","10,757",54
35,FLEMING,2012,"10,429","5,867",56.2,"7,021","3,866",55,"2,930","1,809",61.7,478,192,40.1
36,FLOYD,2012,"29,989","15,228",50.7,"26,104","13,209",50.6,"3,107","1,745",56.1,778,274,35.2
37,FRANKLIN,2012,"34,329","23,628",68.8,"25,300","17,788",70.3,"7,048","4,882",69.2,"1,981",958,48.3
38,FULTON,2012,"5,134","2,516",49,"3,920","2,014",51.3,890,436,48.9,324,66,20.3
39,GALLATIN,2012,"5,930","3,098",52.2,"3,994","2,142",53.6,"1,542",814,52.7,394,142,36
40,GARRARD,2012,"11,891","7,170",60.2,"4,141","2,283",55.1,"6,880","4,556",66.2,870,331,38
41,GRANT,2012,"16,125","8,771",54.3,"8,808","4,919",55.8,"5,768","3,303",57.2,"1,549",549,35.4
42,GRAVES,2012,"24,216","15,657",64.6,"17,859","11,757",65.8,"5,303","3,440",64.8,"1,054",460,43.6
43,GRAYSON,2012,"17,634","9,478",53.7,"5,992","3,104",51.8,"10,635","6,055",56.9,"1,007",319,31.6
44,GREEN,2012,"8,507","4,511",53,"3,168","1,556",49.1,"5,052","2,850",56.4,287,105,36.5
45,GREENUP,2012,"27,708","15,401",55.5,"16,486","8,822",53.5,"9,373","5,856",62.4,"1,849",723,39.1
46,HANCOCK,2012,"6,442","4,237",65.7,"3,964","2,655",66.9,"2,158","1,438",66.6,320,144,45
47,HARDIN,2012,"70,066","39,604",56.5,"36,292","20,891",57.5,"27,244","16,132",59.2,"6,530","2,581",39.5
48,HARLAN,2012,"20,100","11,003",54.7,"14,472","7,493",51.7,"5,124","3,304",64.4,504,206,40.8
49,HARRISON,2012,"12,852","7,364",57.2,"8,954","5,201",58,"3,242","1,897",58.5,656,266,40.5
50,HART,2012,"12,631","6,578",52,"8,167","4,249",52,"3,905","2,125",54.4,559,204,36.4
51,HENDERSON,2012,"32,111","18,765",58.4,"23,093","13,902",60.2,"7,111","4,120",57.9,"1,907",743,38.9
52,HENRY,2012,"11,213","6,672",59.5,"7,197","4,322",60,"3,418","2,099",61.4,598,251,41.9
53,HICKMAN,2012,"3,576","2,161",60.4,"2,817","1,751",62.1,622,357,57.3,137,53,38.6
54,HOPKINS,2012,"32,315","19,902",61.5,"22,099","13,795",62.4,"8,647","5,418",62.6,"1,569",689,43.9
55,JACKSON,2012,"9,497","5,114",53.8,"1,232",533,43.2,"7,919","4,476",56.5,346,105,30.3
56,JEFFERSON,2012,"526,076","339,810",64.5,"307,319","201,060",65.4,"172,188","115,088",66.8,"46,569","23,662",50.8
57,JESSAMINE,2012,"33,623","20,787",61.8,"15,962","9,604",60.1,"15,115","9,995",66.1,"2,546","1,188",46.6
58,JOHNSON,2012,"17,138","9,210",53.7,"7,111","3,408",47.9,"9,387","5,582",59.4,640,220,34.3
59,KENTON,2012,"115,201","68,181",59.1,"48,568","27,265",56.1,"51,403","33,530",65.2,"15,230","7,386",48.4
60,KNOTT,2012,"11,745","5,808",49.4,"10,845","5,311",48.9,675,405,60,225,92,40.8
61,KNOX,2012,"22,569","11,406",50.5,"7,592","3,234",42.5,"14,235","7,937",55.7,742,235,31.6
62,LARUE,2012,"9,893","5,806",58.6,"6,324","3,862",61,"3,029","1,742",57.5,540,202,37.4
63,LAUREL,2012,"42,405","22,755",53.6,"10,284","4,448",43.2,"30,229","17,684",58.5,"1,892",623,32.9
64,LAWRENCE,2012,"11,726","5,738",48.9,"6,324","2,817",44.5,"4,759","2,701",56.7,643,220,34.2
65,LEE,2012,"5,298","2,668",50.3,"2,002",918,45.8,"3,130","1,695",54.1,166,55,33.1
66,LESLIE,2012,"8,770","5,009",57.1,"1,011",422,41.7,"7,581","4,505",59.4,178,82,46
67,LETCHER,2012,"16,191","8,971",55.4,"11,921","6,159",51.6,"3,751","2,582",68.8,519,230,44.3
68,LEWIS,2012,"9,826","4,922",50,"2,415","1,131",46.8,"7,022","3,660",52.1,389,131,33.6
69,LINCOLN,2012,"17,266","9,216",53.3,"9,028","4,646",51.4,"7,415","4,263",57.4,823,307,37.3
70,LIVINGSTON,2012,"7,368","4,540",61.6,"5,510","3,463",62.8,"1,530",946,61.8,328,131,39.9
71,LOGAN,2012,"17,033","10,591",62.1,"11,547","7,277",63,"4,468","2,899",64.8,"1,018",415,40.7
72,LYON,2012,"6,070","3,893",64.1,"4,390","2,867",65.3,"1,378",894,64.8,302,132,43.7
73,MCCRACKEN,2012,"49,492","30,783",62.1,"29,968","18,722",62.4,"15,657","10,298",65.7,"3,867","1,763",45.5
74,MCCREARY,2012,"10,935","5,798",53,"2,968","1,335",44.9,"7,470","4,287",57.3,497,176,35.4
75,MCLEAN,2012,"6,700","4,225",63,"4,658","2,927",62.8,"1,748","1,186",67.8,294,112,38
76,MADISON,2012,"56,426","33,612",59.5,"29,424","17,399",59.1,"21,803","13,887",63.6,"5,199","2,326",44.7
77,MAGOFFIN,2012,"10,056","5,098",50.6,"7,124","3,394",47.6,"2,787","1,654",59.3,145,50,34.4
78,MARION,2012,"12,582","7,414",58.9,"10,141","6,161",60.7,"2,027","1,096",54,414,157,37.9
79,MARSHALL,2012,"24,041","15,792",65.6,"16,771","11,175",66.6,"6,156","4,042",65.6,"1,114",575,51.6
80,MARTIN,2012,"8,056","3,865",47.9,"2,341",951,40.6,"5,587","2,870",51.3,128,44,34.3
81,MASON,2012,"12,235","6,953",56.8,"7,973","4,680",58.6,"3,427","1,971",57.5,835,302,36.1
82,MEADE,2012,"19,105","11,088",58,"11,108","6,698",60.2,"6,590","3,800",57.6,"1,407",590,41.9
83,MENIFEE,2012,"5,176","2,691",51.9,"4,137","2,142",51.7,791,477,60.3,248,72,29
84,MERCER,2012,"16,495","10,012",60.6,"10,516","6,455",61.3,"5,128","3,190",62.2,851,367,43.1
85,METCALFE,2012,"7,447","4,279",57.4,"4,126","2,334",56.5,"2,949","1,786",60.5,372,159,42.7
86,MONROE,2012,"8,396","4,788",57,"1,130",591,52.3,"7,022","4,121",58.6,244,76,31.1
87,MONTGOMERY,2012,"19,025","10,380",54.5,"13,551","7,460",55,"4,558","2,587",56.7,916,333,36.3
88,MORGAN,2012,"8,920","4,572",51.2,"7,964","4,069",51,838,460,54.8,118,43,36.4
89,MUHLENBERG,2012,"22,177","12,910",58.2,"16,418","9,624",58.6,"4,728","2,933",62,"1,031",353,34.2
90,NELSON,2012,"30,531","18,614",60.9,"19,180","12,252",63.8,"8,783","5,389",61.3,"2,568",973,37.8
91,NICHOLAS,2012,"5,384","2,687",49.9,"4,429","2,260",51,742,357,48.1,213,70,32.8
92,OHIO,2012,"16,518","9,735",58.9,"7,971","4,497",56.4,"7,664","4,840",63.1,883,398,45
93,OLDHAM,2012,"43,714","30,126",68.9,"15,684","10,369",66.1,"23,604","17,405",73.7,"4,426","2,352",53.1
94,OWEN,2012,"7,751","4,638",59.8,"5,494","3,347",60.9,"1,877","1,140",60.7,380,151,39.7
95,OWSLEY,2012,"3,497","1,591",45.4,917,398,43.4,"2,513","1,168",46.4,67,25,37.3
96,PENDLETON,2012,"9,994","5,617",56.2,"5,962","3,355",56.2,"3,304","1,988",60.1,728,274,37.6
97,PERRY,2012,"20,496","10,504",51.2,"15,413","7,505",48.6,"4,564","2,809",61.5,519,190,36.6
98,PIKE,2012,"47,020","24,181",51.4,"34,379","17,090",49.7,"10,773","6,455",59.9,"1,868",636,34
99,POWELL,2012,"9,318","4,562",48.9,"6,792","3,301",48.6,"2,142","1,142",53.3,384,119,30.9
100,PULASKI,2012,"44,422","26,278",59.1,"11,372","5,769",50.7,"30,137","19,414",64.4,"2,913","1,095",37.5
101,ROBERTSON,2012,"1,720",941,54.7,"1,405",777,55.3,267,148,55.4,48,16,33.3
102,ROCKCASTLE,2012,"11,737","6,292",53.6,"2,303","1,056",45.8,"8,894","5,037",56.6,540,199,36.8
103,ROWAN,2012,"13,501","7,722",57.1,"9,139","5,091",55.7,"3,502","2,246",64.1,860,385,44.7
104,RUSSELL,2012,"13,226","8,018",60.6,"3,094","1,723",55.6,"9,677","6,117",63.2,455,178,39.1
105,SCOTT,2012,"32,848","20,895",63.6,"17,580","11,136",63.3,"12,957","8,607",66.4,"2,311","1,152",49.8
106,SHELBY,2012,"28,231","18,785",66.5,"14,925","9,727",65.1,"11,275","8,023",71.1,"2,031","1,035",50.9
107,SIMPSON,2012,"12,349","7,103",57.5,"8,035","4,842",60.2,"3,330","1,867",56,984,394,40
108,SPENCER,2012,"12,560","8,554",68.1,"6,519","4,334",66.4,"5,235","3,783",72.2,806,437,54.2
109,TAYLOR,2012,"17,476","10,537",60.2,"8,270","4,732",57.2,"8,347","5,464",65.4,859,341,39.6
110,TODD,2012,"7,911","4,768",60.2,"6,024","3,773",62.6,"1,578",879,55.7,309,116,37.5
111,TRIGG,2012,"10,706","6,833",63.8,"6,561","4,290",65.3,"3,511","2,240",63.7,634,303,47.7
112,TRIMBLE,2012,"6,656","3,580",53.7,"4,996","2,753",55.1,"1,303",728,55.8,357,99,27.7
113,UNION,2012,"9,987","5,941",59.4,"8,169","5,087",62.2,"1,460",750,51.3,358,104,29
114,WARREN,2012,"71,375","44,008",61.6,"38,785","23,611",60.8,"26,994","17,863",66.1,"5,596","2,534",45.2
115,WASHINGTON,2012,"8,342","5,261",63,"5,607","3,614",64.4,"2,445","1,524",62.3,290,123,42.4
116,WAYNE,2012,"14,040","7,315",52.1,"5,267","2,566",48.7,"8,230","4,558",55.3,543,191,35.1
117,WEBSTER,2012,"9,301","5,475",58.8,"7,402","4,517",61,"1,554",835,53.7,345,123,35.6
118,WHITLEY,2012,"26,178","13,124",50.1,"6,628","2,646",39.9,"18,294","10,104",55.2,"1,256",374,29.7
119,WOLFE,2012,"5,575","2,616",46.9,"4,974","2,347",47.1,462,240,51.9,139,29,20.8
120,WOODFORD,2012,"18,347","12,323",67.1,"10,669","7,312",68.5,"6,321","4,320",68.3,"1,357",691,50.9
1,ADAIR,2008,"12,584","7,548",59.9,"3,862","2,310",59.8,"8,208","5,015",61,514,223,43.3
2,ALLEN,2008,"12,439","7,502",60.3,"4,621","2,769",59.9,"7,153","4,465",62.4,665,268,40.3
3,ANDERSON,2008,"15,507","10,785",69.5,"10,201","7,249",71,"4,541","3,168",69.7,765,368,48.1
4,BALLARD,2008,"5,999","4,101",68.3,"4,982","3,494",70.1,840,535,63.6,177,72,40.6
5,BARREN,2008,"27,232","17,342",63.6,"16,543","10,519",63.5,"9,210","6,185",67.1,"1,479",638,43.1
6,BATH,2008,"8,697","4,790",55,"7,490","4,166",55.6,963,539,55.9,244,85,34.8
7,BELL,2008,"20,576","9,973",48.4,"10,119","4,594",45.3,"9,800","5,154",52.5,657,225,34.2
8,BOONE,2008,"78,084","51,996",66.5,"29,184","19,020",65.1,"39,678","27,891",70.2,"9,222","5,085",55.1
9,BOURBON,2008,"13,312","8,442",63.4,"9,637","6,321",65.5,"3,013","1,839",61,662,282,42.5
10,BOYD,2008,"35,995","21,111",58.6,"21,894","12,680",57.9,"11,809","7,496",63.4,"2,292",935,40.7
11,BOYLE,2008,"19,189","12,646",65.9,"11,951","8,059",67.4,"6,076","4,003",65.8,"1,162",584,50.2
12,BRACKEN,2008,"6,016","3,530",58.6,"4,740","2,822",59.5,"1,058",626,59.1,218,82,37.6
